file,theorem,line,axioms_total,axioms_load_bearing,status
Accumulator.v,membership_witness_is_root,34,0,0,OK
Accumulator.v,forged_mem_is_adaptive_root,45,0,0,OK
Accumulator.v,rsa_acc_add_is_powm,56,0,0,OK
Accumulator.v,rsa_mem_wit_is_powm,61,0,0,OK
Accumulator.v,cl_acc_add_is_exp,72,0,0,OK
Accumulator.v,cl_has_no_trapdoor_update,79,0,0,OK
Accumulator.v,rsa_public_has_no_trapdoor_update,83,0,0,OK
Accumulator.v,rsa_acc_forge_from_lambda,87,0,0,OK
Accumulator.v,cl_odd_invertible_mod_two,102,0,0,OK
Accumulator.v,cl_no_trapdoor_from_two,111,0,0,OK
Accumulator.v,rsa_composite_member_splits_witness,125,0,0,OK
Accumulator.v,powm_mul_l_mod,158,0,0,OK
Accumulator.v,powm_inv_cancels,168,0,0,OK
Accumulator.v,mul_pow_mod_cong,184,0,0,OK
Accumulator.v,zmul_nonneg_eq_1,200,0,0,OK
Accumulator.v,shamir_neg_beta,207,0,0,OK
Accumulator.v,shamir_trick,248,0,0,OK
Accumulator.v,bdm_coprime_gives_product_witness,304,0,0,OK
Accumulator.v,bdm_same_bits_still_splits,326,0,0,OK
Accumulator.v,llx_complete_nonneg,357,0,0,OK
Accumulator.v,llx_complete,379,0,0,OK
Accumulator.v,llx_Bx_eq_g_times_inv,415,0,0,OK
Accumulator.v,g_times_inv_succ,450,0,0,OK
Accumulator.v,llx_extract_root,466,0,0,OK
Accumulator.v,bezout3,529,0,0,OK
Accumulator.v,llx_lambda_forges_nonmem,543,0,0,OK
Accumulator.v,rsa_trapdoor_add,596,0,0,OK
Accumulator.v,peng_bao_member_still_forges,631,0,0,OK
Accumulator.v,icomm_cancel_h,663,0,0,OK
Accumulator.v,icomm_binding_is_fractional_root,707,0,0,OK
Accumulator.v,icomm_same_msg_is_annihilator,723,0,0,OK
Accumulator.v,lipmaa_cl_membership_is_P_Root,748,0,0,OK
AddGate.v,add_gate_sat,32,0,0,OK
AddGate.v,add_gate_complete,43,0,0,OK
AddGate.v,add_is_public_sum,63,0,0,OK
AllBits.v,all_bits_nn,28,0,0,OK
AllBits.v,all_bits_value_nonneg,36,0,0,OK
AllBits.v,all_bits_qap,42,0,0,OK
AllBits.v,three_bit_encoding,53,0,0,OK
ArithShape.v,arith_newton_inv3,28,0,0,OK
ArithShape.v,arith_newton_from_one,32,0,0,OK
ArithShape.v,arith_e5_divides_yminus1,40,0,0,OK
ArithShape.v,arith_e7_divides_yminus1,44,0,0,OK
ArithShape.v,arith_e7_residual,48,0,0,OK
ArithShape.v,arith_xy_period_residual,61,0,0,OK
ArithShape.v,arith_xy_period_no_split,72,0,0,OK
ArithShape.v,arith_witness_gap_no_split,84,0,0,OK
ArithShape.v,arith_takagi_shape,90,0,0,OK
ArithShape.v,arith_takagi_euler_p2,96,0,0,OK
ArithShape.v,arith_takagi_p_on_tape,100,0,0,OK
ArithShape.v,arith_double_y_not_root,106,0,0,OK
ArithShape.v,prime_37,113,0,0,OK
ArithShape.v,arith_nextprime_e37,128,0,0,OK
ArithShape.v,arith_nextprime_residual,132,0,0,OK
ArithShape.v,arith_nextprime_root_is_49,143,0,0,OK
ArithShape.v,arith_cf_euclidean,150,0,0,OK
ArithShape.v,arith_cf_convergents_not_root,156,0,0,OK
ArithShape.v,arith_two_moduli_coprime,164,0,0,OK
ArithShape.v,arith_two_moduli_same_x,168,0,0,OK
ArithShape.v,three_prime_357,175,0,0,OK
ArithShape.v,arith_mixed_pqr_is_factor,182,0,0,OK
ArithShape.v,arith_composite_e15_shares_lambda,194,0,0,OK
ArithShape.v,arith_36_not_in_ltwo,210,0,0,OK
ArithShape.v,arith_two_and_thirtysix_same_order_period,214,0,0,OK
AuxBil.v,aux_is_self_bil,30,0,0,OK
AuxBil.v,aux_self_bil_checks_pot,40,0,0,OK
AuxBil.v,aux_self_bil_evaluates_pot,54,0,0,OK
AuxBil.v,aux_eval_publishes_next,72,0,0,OK
AuxBil.v,forget_aux_is_self_bil,82,0,0,OK
BGH.v,jacobi_additive_pairing,29,0,0,OK
BGH.v,jacobi_neg1_on_blum,58,0,0,OK
BGH.v,jacobi_one_mul_closed,73,0,0,OK
BGH.v,cocks_pair_first_decrypts,95,0,0,OK
BGH.v,cocks_pair_second_decrypts,118,0,0,OK
BGH.v,cocks_pair_covers_blum,141,0,0,OK
BatchOrder.v,shared_pminus1_divides_gcd,27,0,0,OK
BatchOrder.v,gcd_pminus1_pos,36,0,0,OK
BatchOrder.v,distinct_semiprimes_coprime,46,0,0,OK
BatchOrder.v,batch_p1_splits_pair,64,0,0,OK
BatchOrder.v,shared_pminus1_is_ap,91,0,0,OK
BinForms.v,bqf_inv_disc,44,0,0,OK
BinForms.v,bqf_inv_primitive,48,0,0,OK
BinForms.v,bqf_inv_inv,56,0,0,OK
BinForms.v,bqf_id_a,63,0,0,OK
BinForms.v,four_times_div4,69,0,0,OK
